<samp>behemoth</samp>	<samp>der Koloss &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYC86wSPgvtmz_-hDVHypCnrUYtNNPMzOsAoG5LNkzuWKW6AaaLwdxiLkc3N0XCHPUXfnFFdVQ7BXGdWSwNFZ5-7ch2aoseuHYHPvdQtdAtRXz32awSixz8dsG7LpDdGHUCPvRQ9dIsTyf3X7dbCl087tj27RDZUuod_DfAAZBe&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYC86wSPgvtmz_-hDVHypCnrUYtNNPMzOsAoG5LNkzuWKW6AaaLwdxiLkc3N0XCHPUXfnFFdVQ7BXGdWSwNFZ5-7ch2aoseuHYHPvdQtdAtRXz32awSixz8dsG7LpDdGHUCPvRQ9dIsTyf3X7dbCl087tj27RDZUuod_DfAAZBe" data-dz-flex-label-1="Koloss" title="Substantivtabelle öffnen" aria-label="Substantivtabelle öffnen" class="is-clickable"><small><i><span title="Plural">Pl.:</span></i> die Kolosse</small></a></samp>
<samp>behemoth <small><i>[<span title="figurativ">fig.</span>]</i></small></samp>	<samp>der Gigant &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYC86wSPgvtmz_-hDVHyBCnrUDtdQIZTe1ZZGmUtAhtXjGvC62IWxz96Ri7OgqL0vdZ-HmLsB00i2afRKlLkQdiZ9nttomt0OrZfGxLNUt0h-a32hTREEXlbBSuLoq10-_ZfmwDNkp0Hf3-W_VIUQVldBlqbFWHUHAAPonN&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYC86wSPgvtmz_-hDVHyBCnrUDtdQIZTe1ZZGmUtAhtXjGvC62IWxz96Ri7OgqL0vdZ-HmLsB00i2afRKlLkQdiZ9nttomt0OrZfGxLNUt0h-a32hTREEXlbBSuLoq10-_ZfmwDNkp0Hf3-W_VIUQVldBlqbFWHUHAAPonN" data-dz-flex-label-1="Gigant" title="Substantivtabelle öffnen" aria-label="Substantivtabelle öffnen" class="is-clickable"><small><i><span title="Plural">Pl.:</span></i> die Giganten</small></a></samp>
<samp>to belay  &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYCs67UP8lumz53RnXH3B-mrUdpdQIZTe1ZZGnQ9Em5XfxvCK9Jixu2d9SotFSHSa1UpS3SrQhjWP35GLBcjANyN1_5d0mF3O9H4W8G7dAABdMl&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYCs67UP8lumz53RnXH3B-mrUdpdQIZTe1ZZGnQ9Em5XfxvCK9Jixu2d9SotFSHSa1UpS3SrQhjWP35GLBcjANyN1_5d0mF3O9H4W8G7dAABdMl" data-dz-flex-label-1="belay" title="Verbtabelle öffnen" aria-label="Verbtabelle öffnen" class="is-clickable"><small>|&nbsp;belayed, belayed&nbsp;|</small></a></samp>	<samp>festmachen &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYC86wUP8lumz53RnXJXdzloEOstBOGkWrG9ytJrcsqhmeuQzsYCFVl7YJ1a0BdXrYDZ-wLLkzuWJ7uADsJUxu_6xB3XEpIHPUXfnFFdVQXBLPyVP1fRgX-6k9uNheIUfICv6iRL1DyAL_6HO2SkhvC6odv7wbGkPYZ6HaftV30Bf73TLZUBg9r9cA0bVMfiasZcmwJqQwvHXGAGiQt&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYC86wUP8lumz53RnXJXdzloEOstBOGkWrG9ytJrcsqhmeuQzsYCFVl7YJ1a0BdXrYDZ-wLLkzuWJ7uADsJUxu_6xB3XEpIHPUXfnFFdVQXBLPyVP1fRgX-6k9uNheIUfICv6iRL1DyAL_6HO2SkhvC6odv7wbGkPYZ6HaftV30Bf73TLZUBg9r9cA0bVMfiasZcmwJqQwvHXGAGiQt" data-dz-flex-label-1="festmachen" title="Verbtabelle öffnen" aria-label="Verbtabelle öffnen" class="is-clickable"><small>|&nbsp;machte fest, festgemacht&nbsp;|</small></a></samp>
<samp>to belay &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYCs67UP8lumz53RnXH3B-mrUdpdQIZTe1ZZGnQ9Em5XfxvCK9Jixu2d9SotFSHSa1UpS3SrQhjWP35GLBcjANyN1_5d0mF3O9H4W8G7dAABdMl&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYCs67UP8lumz53RnXH3B-mrUdpdQIZTe1ZZGnQ9Em5XfxvCK9Jixu2d9SotFSHSa1UpS3SrQhjWP35GLBcjANyN1_5d0mF3O9H4W8G7dAABdMl" data-dz-flex-label-1="belay" title="Verbtabelle öffnen" aria-label="Verbtabelle öffnen" class="is-clickable"><small>|&nbsp;belayed, belayed&nbsp;|</small></a> &nbsp;&nbsp;- <small><i>usually in the imperative</i></small> <span class="repr-domain"><small>[<span title="Nautik">NAUT.</span>]</small></span></samp>	<samp>aufhören &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYC86wUP8lumz53RnXJXdzloEOstBOGkWrG9ytJrcsqhmeuQzsYCFVl7YJ1a0BdXrYDZ-wLLkzuWL7uAfsNUB7OLPLo24qLEflZ_HnLs5SyCvz6FLNdQIgydUfgNhPGTvjZOawKq8v1Hv0zmHsJUgXiRcfvq1IEXvfOfkKKdtA0E_zg27ZdCgN-_U9vtpEeC-7UoHfQ904sWKf31oYA&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYC86wUP8lumz53RnXJXdzloEOstBOGkWrG9ytJrcsqhmeuQzsYCFVl7YJ1a0BdXrYDZ-wLLkzuWL7uAfsNUB7OLPLo24qLEflZ_HnLs5SyCvz6FLNdQIgydUfgNhPGTvjZOawKq8v1Hv0zmHsJUgXiRcfvq1IEXvfOfkKKdtA0E_zg27ZdCgN-_U9vtpEeC-7UoHfQ904sWKf31oYA" data-dz-flex-label-1="aufhören" title="Verbtabelle öffnen" aria-label="Verbtabelle öffnen" class="is-clickable"><small>|&nbsp;hörte auf, aufgehört&nbsp;|</small></a></samp>
<samp>brig</samp>	<samp>der Bunker &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYC86wSPgvtmz_-hDVHypCmrUKstVNby_2F4G4St5KrGKauA7sArZo-7l93N0XEXHQXfnFFdVQ7BXGtGSBNFZ5-7cg2acsSCHYHPvdQtdAtRXztGbUSixz8dsG7LlDiCHUCPvRQ9dIsTef2W7YbCl087tj27hDHzuod_DfAAN2u&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYC86wSPgvtmz_-hDVHypCmrUKstVNby_2F4G4St5KrGKauA7sArZo-7l93N0XEXHQXfnFFdVQ7BXGtGSBNFZ5-7cg2acsSCHYHPvdQtdAtRXztGbUSixz8dsG7LlDiCHUCPvRQ9dIsTef2W7YbCl087tj27hDHzuod_DfAAN2u" data-dz-flex-label-1="Bunker" title="Substantivtabelle öffnen" aria-label="Substantivtabelle öffnen" class="is-clickable"><small><i><span title="Plural">Pl.:</span></i> die Bunker</small></a></samp>
<samp>to cripple so.  &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYCs67UP8lumz53RnXJXtClKUDp95DaWagA5HfVNsltHXGnW64LCt7_6hM2-RVHTa5ApLoVL0pjGOL2QfcUBoI6-Zn0Og2KUHlCvGtT6lA5XDxAAqlG&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYCs67UP8lumz53RnXJXtClKUDp95DaWagA5HfVNsltHXGnW64LCt7_6hM2-RVHTa5ApLoVL0pjGOL2QfcUBoI6-Zn0Og2KUHlCvGtT6lA5XDxAAqlG" data-dz-flex-label-1="cripple" title="Verbtabelle öffnen" aria-label="Verbtabelle öffnen" class="is-clickable"><small>|&nbsp;crippled, crippled&nbsp;|</small></a></samp>	<samp>jmdn. verkrüppeln &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYC86wUP8lumz53RnXLnlClbUItN5KMyOsAoG5LNgyvnKX31aZKT5xiLFr7PFOHS66AZLfUqAh3HKW1V3AMkTei2UHtKxKD0fpfODZFMCU0iTz5k7BdCkB7_db5MM6F1uoAfm8G60h0AieuhazTC0Zxs8vo9JWcju2aOzkNo9IyC_zi2nZdDgNzshv2-JJdyi9G5zVLOUlqGuS6AzRACzzB&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYC86wUP8lumz53RnXLnlClbUItN5KMyOsAoG5LNgyvnKX31aZKT5xiLFr7PFOHS66AZLfUqAh3HKW1V3AMkTei2UHtKxKD0fpfODZFMCU0iTz5k7BdCkB7_db5MM6F1uoAfm8G60h0AieuhazTC0Zxs8vo9JWcju2aOzkNo9IyC_zi2nZdDgNzshv2-JJdyi9G5zVLOUlqGuS6AzRACzzB" data-dz-flex-label-1="verkrüppeln" title="Verbtabelle öffnen" aria-label="Verbtabelle öffnen" class="is-clickable"><small>|&nbsp;verkrüppelte, verkrüppelt&nbsp;|</small></a></samp>
<samp>inert &nbsp;<small><i><span title="Adjektiv">Adj.</span></i></small></samp>	<samp>träge</samp>
<samp>to inhibit sth.  &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYCs67UP8lumz53RnXH3B-mrUdpdQIZTe1ZZGnQ9Em5XfxvCK9Jixu2d9SotFSHSa1Up-8Tr8pjHuS2RffUBoL6-Zn0Og2KUHlCvGtT6lA5XDxAA35O&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYCs67UP8lumz53RnXH3B-mrUdpdQIZTe1ZZGnQ9Em5XfxvCK9Jixu2d9SotFSHSa1Up-8Tr8pjHuS2RffUBoL6-Zn0Og2KUHlCvGtT6lA5XDxAA35O" data-dz-flex-label-1="inhibit" title="Verbtabelle öffnen" aria-label="Verbtabelle öffnen" class="is-clickable"><small>|&nbsp;inhibited, inhibited&nbsp;|</small></a></samp>	<samp>etw.<small><sup class="noselect"><span title="Akkusativ">Akk.</span></sup></small> verhindern &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYC86wUP8lumz53RnXLnBCmrUNtNJIaD68HZG7CNU0tWWXp2a0JiVx8ewnvbJAblLcUtW9B95KrG7ruAu8QBAMkr4B0cwKDU_pfu7ZFNd9TRjz5k7BdCcJnskdyNU0CXHJH_fVT7A4uSfrsGmmIkQd_9h6keIsbTSqAZbFF90d0A_J3XzRSHwC6-B_0eobckG6CpW2Jqd9vR-DvBu1QBAXAAbsa&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYC86wUP8lumz53RnXLnBCmrUNtNJIaD68HZG7CNU0tWWXp2a0JiVx8ewnvbJAblLcUtW9B95KrG7ruAu8QBAMkr4B0cwKDU_pfu7ZFNd9TRjz5k7BdCcJnskdyNU0CXHJH_fVT7A4uSfrsGmmIkQd_9h6keIsbTSqAZbFF90d0A_J3XzRSHwC6-B_0eobckG6CpW2Jqd9vR-DvBu1QBAXAAbsa" data-dz-flex-label-1="verhindern" title="Verbtabelle öffnen" aria-label="Verbtabelle öffnen" class="is-clickable"><small>|&nbsp;verhinderte, verhindert&nbsp;|</small></a></samp>
<samp>lathe <span class="repr-domain"><small>[<span title="Technik">TECH.</span>]</small></span></samp>	<samp>die Drehbank &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYC86wSPgvtmz_-hDVHypCmrUButQIZTe1ZZGmUtAhtXvGpyC0KBwZ98Rg3ew2EEbqS8q7Kr5K5Sf34WbsSip8j6sL7LRCdBO9ZfGyedUy0hqfzWfbVEEDlbBSuL4UFSLxCJrdLtRrvH9-2U6wTC0Xg7UfxtomAEktp&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYC86wSPgvtmz_-hDVHypCmrUButQIZTe1ZZGmUtAhtXvGpyC0KBwZ98Rg3ew2EEbqS8q7Kr5K5Sf34WbsSip8j6sL7LRCdBO9ZfGyedUy0hqfzWfbVEEDlbBSuL4UFSLxCJrdLtRrvH9-2U6wTC0Xg7UfxtomAEktp" data-dz-flex-label-1="Drehbank" title="Substantivtabelle öffnen" aria-label="Substantivtabelle öffnen" class="is-clickable"><small><i><span title="Plural">Pl.:</span></i> die Drehbänke</small></a></samp>
<samp>lettuce</samp>	<samp>der Kopfsalat &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYC86wSPgvtmz_-hDVHyxCnrUEsN5IaWagA5HfVdw0tXKWnla-MKt7mqQDpbAqSVbpY8PdNu5IyCvzVVzsISxvn6UBgdKMFTzSb5LfLqlK2HXxuEzZISIdld9ruNhIIOK9Y5bfIrhK0HPRvC61TCQVkv0O3dBIF1O9H4nVLMwrk&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYC86wSPgvtmz_-hDVHyxCnrUEsN5IaWagA5HfVdw0tXKWnla-MKt7mqQDpbAqSVbpY8PdNu5IyCvzVVzsISxvn6UBgdKMFTzSb5LfLqlK2HXxuEzZISIdld9ruNhIIOK9Y5bfIrhK0HPRvC61TCQVkv0O3dBIF1O9H4nVLMwrk" data-dz-flex-label-1="Kopfsalat" title="Substantivtabelle öffnen" aria-label="Substantivtabelle öffnen" class="is-clickable"><small><i><span title="Plural">Pl.:</span></i> die Kopfsalate</small></a></samp>
<samp>to mingle  &nbsp;<a href="/pages/flecttab/flectionTable.php?kvz=4dkrADn71HeCbYCs67UP8lumz53RnXJXtClKUDp95DaWagA5HfVNsltHXGnW64LCt7_6hM2-RVHTa5ApzoT7oucnOX2WbgVDgv88Vc2cQmIH7SF5ilQrBA0i7EQ&amp;lp=ende&amp;lang=de" data-dz-ui="dictentry:showFlecttab" data-dz-flex-table-1="4dkrADn71HeCbYCs67UP8lumz53RnXJXtClKUDp95DaWagA5HfVNsltHXGnW64LCt7_6hM2-RVHTa5ApzoT7oucnOX2WbgVDgv88Vc2cQmIH7SF5ilQrBA0i7EQ" data-dz-flex-label-1="mingle" title="Verbtabelle öffnen" aria-label="Verbtabelle öffnen" class="is-clickable"><small>|&nbsp;mingled, mingled&nbsp;|</small></a></samp>	<samp>sich<small><sup class="noselect"><span title="Akkusativ">Akk.</span></sup></small> unter die Leute mischen</samp>
